dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby
lgfAGuYAdPZ,201610,CzGqegvtcf5,p8KHSw07YH1,K0cWjvomIMf,88,felix
lgfAGuYAdPZ,201610,CzGqegvtcf5,lbCDtnQRrh6,K0cWjvomIMf,1363,felix
zpJjBI4BewR,201610,CzGqegvtcf5,lbCDtnQRrh6,K0cWjvomIMf,16,felix
uAlw1jSa1Az,201610,CzGqegvtcf5,cJKLG2tjEmO,K0cWjvomIMf,2,felix
uAlw1jSa1Az,201610,CzGqegvtcf5,g7Lh5zbS2En,K0cWjvomIMf,34,felix
tArf2JT2OGN,201610,CzGqegvtcf5,cJKLG2tjEmO,K0cWjvomIMf,11,felix
tArf2JT2OGN,201610,CzGqegvtcf5,g7Lh5zbS2En,K0cWjvomIMf,153,felix
lgfAGuYAdPZ,201610,obSn4iRC7wn,p8KHSw07YH1,IpcHlwXHAL4,68,felix
lgfAGuYAdPZ,201610,obSn4iRC7wn,lbCDtnQRrh6,IpcHlwXHAL4,281,felix
zpJjBI4BewR,201610,obSn4iRC7wn,p8KHSw07YH1,IpcHlwXHAL4,2,felix
zpJjBI4BewR,201610,obSn4iRC7wn,lbCDtnQRrh6,IpcHlwXHAL4,24,felix
uAlw1jSa1Az,201610,obSn4iRC7wn,cJKLG2tjEmO,IpcHlwXHAL4,1,felix
uAlw1jSa1Az,201610,obSn4iRC7wn,g7Lh5zbS2En,IpcHlwXHAL4,51,felix
tArf2JT2OGN,201610,obSn4iRC7wn,cJKLG2tjEmO,IpcHlwXHAL4,11,felix
